winner_ioc,loser_ioc,winner_hand,loser_hand,num_winners,avg_winner_age,max_loser_age
FRA,CAN,L,L,1,24.6,23.8
CAN,ARG,L,L,1,23.9,32.8
BUL,GER,R,R,2,31.9,32.9
BUL,FRA,R,R,2,30.75,29.1
RUS,USA,L,R,1,26.4,27.9
FIN,USA,R,R,3,23.674999999999997,28.4
ITA,ESP,R,L,2,22.4,39.4
SVK,SRB,L,R,1,25.3,27.8
BIH,GBR,R,L,1,30.9,29.2
GRE,ESP,R,R,2,24.65,30.1
GER,GER,R,R,4,27.720000000000006,31.4
RUS,BRA,R,L,1,26.9,28.8
SUI,USA,R,R,2,38.199999999999996,25.9
SRB,CHI,R,R,2,25.9,27.1
HUN,ESP,R,R,2,23.75,35.5
PER,ESP,R,L,1,27.6,35.3
AUS,ARG,R,L,1,30.0,22.4
AUS,NED,R,L,1,22.2,27.2
ESP,AUS,L,R,1,41.7,29.1
CAN,AUT,R,R,2,27.8,29.8
COL,JPN,R,L,1,27.0,27.7
GER,CRO,L,R,1,28.0,25.3
AUS,CZE,R,L,1,29.0,29.9
ARG,SWE,R,R,1,31.3,20.1
BRA,COL,L,R,1,29.1,27.0
RSA,NED,R,L,1,37.1,27.3
AUT,CHN,R,R,1,29.9,26.7
AUS,GER,R,L,1,24.4,29.2
GRE,USA,R,R,1,24.9,38.2
JPN,RSA,R,R,1,26.0,26.4
GER,FRA,R,L,2,26.4,35.1
BRA,AUS,R,R,1,25.5,31.6
AUS,POR,R,R,1,20.0,26.5
CHI,CHN,R,R,1,27.3,18.5
HUN,NOR,R,R,1,23.9,24.7
FIN,LBN,R,R,1,24.5,28.6
CHI,JPN,R,R,1,27.3,26.2
GRE,GER,R,R,2,25.15,31.9
GER,FRA,L,L,1,28.3,23.0
KAZ,CHI,R,R,2,24.15,28.0
NED,FRA,R,L,1,28.0,35.3
GER,HUN,R,R,2,30.0,31.7
HUN,AUT,R,L,1,31.7,24.4
FRA,JOR,R,L,1,19.5,20.0
CHI,CAN,R,R,1,27.9,21.9
UKR,COL,R,R,1,25.099999999999998,27.2
LAT,ISR,R,R,1,27.5,27.5
ISR,LAT,L,R,1,23.0,23.3
IRL,ESA,U,U,1,20.65,27.1
LBN,JAM,R,R,1,28.5,29.6
VIE,INA,R,R,1,25.9,25.6
CYP,TUN,R,R,1,26.8,27.5
GRE,ITA,R,R,4,24.540000000000003,27.9
POL,SUI,R,R,2,25.9,37.7
AUS,GBR,R,R,6,25.71666666666667,36.4
JPN,USA,L,R,3,27.366666666666664,27.7
RUS,ESP,R,R,16,26.655,36.9
NED,ITA,R,R,3,27.15,31.3
RUS,NED,R,R,8,26.625,28.0
FRA,FIN,R,R,2,27.9,24.2
GER,SRB,L,R,1,27.5,27.5
GBR,CZE,L,R,2,27.55,22.7
KOR,CZE,R,R,1,25.1,22.2
HUN,ARG,R,R,2,31.0,30.8
GBR,FRA,L,R,5,26.957142857142856,34.0
SVK,SUI,L,R,1,25.1,37.8
ARG,UKR,R,R,1,30.4,22.8
POL,CAN,R,L,1,25.9,23.7
CZE,GBR,R,L,1,21.1,27.4
AUS,FRA,R,R,9,27.130000000000003,37.0
RUS,DEN,R,R,3,25.933333333333334,20.0
CHI,ESP,R,R,3,26.575,26.0
DEN,FRA,R,R,4,19.85,36.7
USA,CRO,R,R,4,27.25,26.5
PER,AUT,R,R,1,27.3,29.4
SRB,ITA,R,R,8,28.922222222222224,35.7
CAN,ITA,R,R,3,22.975,28.3
GBR,CZE,R,R,1,35.7,21.2
ESP,COL,L,R,1,35.0,26.6
SRB,ARG,R,L,4,29.150000000000002,33.1
KAZ,SRB,R,R,1,25.6,30.9
SUI,BEL,R,R,1,37.9,23.7
SWE,FRA,R,L,1,26.8,34.6
CRO,AUS,R,R,2,26.45,26.8
ESP,CHI,R,L,1,25.8,25.7
BRA,ESP,L,L,1,28.7,35.1
GER,ARG,R,R,7,29.157142857142855,31.1
GBR,TPE,L,R,2,27.75,24.8
CZE,FRA,R,R,3,19.625,36.6
FRA,POL,L,R,1,34.7,26.0
FIN,POR,R,R,1,23.9,26.0
AUS,BEL,R,R,2,25.6,29.3
ITA,AUT,R,R,2,24.55,29.5
CHI,USA,R,R,5,27.33333333333334,29.8
FRA,AUT,R,R,2,31.75,29.5
DEN,RUS,R,R,1,19.9,27.1
GER,NOR,R,R,1,32.9,24.2
BLR,GBR,R,R,1,29.1,32.8
ESP,FIN,R,R,2,21.85,24.0
CZE,MDA,R,R,1,21.4,33.4
SVK,JPN,L,R,1,25.3,30.2
CRO,POL,R,R,1,26.4,26.1
KAZ,CZE,R,R,1,22.3,21.4
SVK,CHN,L,R,1,25.3,23.5
ESP,BLR,L,R,1,35.2,29.1
KAZ,ARG,R,R,1,22.4,22.3
GBR,SRB,L,R,2,24.6,23.8
AUS,BLR,R,R,1,24.2,29.2
GBR,GBR,R,L,1,36.1,27.6
BEL,HUN,R,R,1,32.5,23.7
AUT,SUI,L,L,1,24.1,27.0
AUT,SRB,R,R,2,25.9,33.0
USA,AUS,R,L,1,38.2,30.5
AUS,AUT,R,R,1,23.9,27.1
CRO,CHI,R,R,1,25.4,27.1
FRA,JPN,L,R,2,27.666666666666668,26.0
FIN,JPN,R,L,1,24.3,27.8
GER,NED,R,R,1,26.2,27.0
CRO,ARG,R,L,1,26.7,21.7
GBR,COL,R,R,1,33.2,27.1
SRB,ZIM,R,R,1,24.0,30.5
AUT,ARG,L,R,1,24.3,22.7
KAZ,NED,R,R,1,22.8,27.9
AUT,HUN,R,R,1,27.3,31.6
ARG,RSA,R,R,1,24.1,26.5
JPN,CHN,L,L,1,27.9,18.6
POL,TPE,R,R,1,26.6,24.5
FRA,PER,R,R,1,19.3,28.0
CAN,KAZ,R,R,1,23.2,22.8
AUT,SUI,R,R,1,30.1,38.5
GBR,GER,L,L,1,21.8,28.3
BEL,KOR,R,R,1,27.85,25.5
CHI,KAZ,R,R,1,26.950000000000003,25.6
SWE,BIH,R,R,1,25.133333333333336,31.5
PER,NOR,R,R,1,25.066666666666663,26.4
IND,DEN,R,R,1,25.4,24.7
UKR,LIB,R,R,1,27.7,24.4
GEO,BOL,R,R,1,21.4,17.9
ESA,JOR,R,U,1,32.2,24.5
INA,VIE,R,R,1,28.5,29.2
KAZ,POL,R,R,1,21.9,22.9
GBR,AUS,L,R,4,26.2,29.1
SRB,RUS,R,R,8,34.144444444444446,29.4
SRB,CAN,R,L,1,35.6,23.7
SRB,AUS,R,R,8,28.8375,29.9
NED,RUS,R,R,4,26.975,29.6
FRA,SRB,R,R,6,28.616666666666664,33.0
ITA,GEO,R,R,1,30.2,30.8
FRA,FRA,R,R,12,26.719047619047615,36.9
FRA,BEL,R,R,3,28.533333333333335,32.8
BEL,KAZ,R,R,1,32.0,25.5
SUI,FRA,L,R,4,23.75,27.4
SWE,FIN,R,R,1,24.3,23.7
DEN,SRB,R,R,3,20.033333333333335,35.9
ESP,POR,R,R,3,26.933333333333337,33.7
POR,ARG,R,R,1,33.8,23.5
ECU,CAN,R,R,1,31.1,21.3
ITA,NED,R,R,3,22.0,27.3
USA,NED,R,R,4,24.95,27.7
FIN,GBR,R,R,1,23.8,32.7
POR,USA,R,L,1,26.0,30.4
RUS,CRO,R,R,1,27.0,26.2
RUS,KAZ,R,R,4,26.775,26.0
CRO,GBR,R,R,1,26.2,32.7
AUS,FIN,R,R,4,26.619999999999997,24.6
GBR,SUI,L,R,1,21.2,21.1
GBR,ARG,R,R,2,34.349999999999994,24.6
RUS,GRE,R,R,3,27.2,25.1
RUS,SVK,R,L,3,26.0,25.4
ESP,BUL,R,R,3,23.333333333333332,32.0
ESP,MAR,R,R,1,25.9,24.5
USA,SUI,R,R,3,28.399999999999995,38.4
FIN,KAZ,R,R,1,24.0,25.8
SVK,ESP,R,R,2,30.5,25.9
DEN,CHI,R,R,1,19.9,26.8
HUN,GER,R,R,2,28.15,25.1
SRB,CRO,R,R,2,32.0,26.4
GER,USA,R,L,1,32.9,20.5
KAZ,USA,R,L,1,25.8,20.5
KAZ,ESP,R,R,1,25.8,26.0
USA,BOL,R,R,2,27.15,30.0
CHN,SUI,R,L,1,23.6,26.9
ITA,USA,R,L,4,25.475,21.0
BRA,RUS,R,R,1,23.2,27.2
NED,FIN,R,R,3,27.066666666666663,24.5
POL,JPN,R,R,1,26.3,25.1
BUL,ARG,R,R,1,32.0,24.8
CZE,AUT,R,R,2,21.65,29.8
SWE,SVK,R,L,1,24.8,25.5
CAN,FRA,L,R,1,24.2,29.3
PER,FIN,R,R,1,27.7,22.0
NOR,ITA,R,R,1,24.5,21.3
NED,AUS,L,R,1,27.3,25.2
CRO,CRO,R,R,1,17.9,22.4
GBR,NED,R,R,2,33.150000000000006,27.8
GBR,BUL,R,R,1,33.1,32.2
AUS,NOR,R,R,1,25.3,24.6
GRE,CAN,R,R,2,25.1,32.6
ARG,BRA,R,R,1,22.6,25.5
SUI,CRO,R,R,1,38.5,25.6
PER,KAZ,R,R,1,28.0,22.8
GER,GBR,R,R,1,33.5,28.7
ESP,ESP,L,R,1,35.8,30.6
SLO,LUX,L,R,1,32.9,25.7
GEO,BOL,L,R,1,25.5,17.9
SUI,KAZ,L,R,2,26.8,22.7
GBR,ESP,L,L,1,27.3,36.5
RUS,RUS,R,R,11,27.061538461538458,29.8
SRB,FRA,R,R,8,31.500000000000004,36.9
